Timestamp,Level,What department are you in?,How many years have you been with the company?,Latitude and Longitude,What is your pincode? (optional),"How long, in minutes, is your current commute on average?",How do you commute?,What is your age?,What is your gender?,Are you married?,How many children do you have?,Which do you live in?,Is having daycares / schools near your office important to you?,"If your office considered shifting, would you like to stay living where you are?",Please enter the pincode of where you would like to live (optional),Would you prefer salary raises or more work from home option?
11/04/2024 08:25:00,Manager,HR,5.33,"-36.006308, -175.487338",204955,57,Public transport,38,Other,Yes,1,Rented House,No,Yes,101449,More work from home option
09/27/2024 19:53:00,Non executive,Finance,13.88,"-53.751763, 95.504568",209436,36,Walk,54,Other,No,4,Apartment,No,No,979786,Salary raises
07/17/2024 08:38:00,Manager,IT,9.79,"62.682825, -28.206958",166702,100,Public transport,57,Man,Yes,3,Rented House,Yes,Yes,256980,Salary raises
10/20/2024 00:46:00,Senior Manager,Marketing,7.79,"-88.409224, 122.626854",897889,92,Bicycle,33,Woman,No,3,Hostel,Yes,Yes,297727,More work from home option
11/09/2024 06:04:00,Non executive,Customer Support,10.87,"71.648379, 17.628008",773137,56,Public transport,54,Other,Yes,0,Hostel,No,No,224531,More work from home option
10/14/2024 12:07:00,Manager,Marketing,14.61,"55.44215, 76.450976",100154,118,Bicycle,22,Other,No,0,Rented House,Yes,Yes,477451,More work from home option
12/02/2024 01:58:00,Executive,IT,15.51,"31.511565, -137.635064",952198,81,Two wheeler EV,22,Woman,Yes,1,PG,No,Yes,352451,More work from home option
02/13/2024 22:03:00,VP,Marketing,10.27,"-60.498507, -42.230735",820912,58,Car,49,Woman,Yes,2,Hostel,No,No,237585,Salary raises
05/06/2024 11:13:00,Executive,Marketing,9.09,"-48.430059, 22.155846",841769,90,Bicycle,45,Man,No,2,Rented House,No,Yes,438899,Salary raises
07/12/2024 05:06:00,Senior Manager,Customer Support,3.63,"15.937813, -31.880724",487512,9,Walk,38,Woman,Yes,1,Rented House,No,Yes,376742,More work from home option
06/02/2024 13:23:00,Non executive,IT,13.82,"-39.101055, -121.507824",269354,5,Carpool,55,Other,No,0,Hostel,Yes,Yes,866252,Salary raises
08/24/2024 19:36:00,Non executive,Marketing,4.49,"22.266504, -1.497787",692001,79,Two wheeler EV,35,Man,Yes,0,PG,No,Yes,268694,Salary raises
04/07/2024 15:56:00,VP,R&D,1.97,"38.550678, -51.403391",177703,98,Public transport,26,Woman,No,0,Rented House,No,Yes,503681,Salary raises
01/18/2024 03:34:00,Manager,Customer Support,5.92,"-36.220556, -64.439889",624061,119,Carpool,47,Woman,Yes,3,Independent House,No,No,907147,Salary raises
08/09/2024 17:43:00,Executive,Sales,15.44,"76.808244, -2.486202",525767,15,Car,35,Man,Yes,2,Rented House,No,No,166361,More work from home option
10/02/2024 03:58:00,Senior Manager,R&D,11.32,"47.979028, 131.903166",802052,16,Car,42,Woman,Yes,2,Rented House,No,Yes,706234,Salary raises
04/27/2024 09:28:00,Manager,R&D,15.19,"49.496638, 129.031522",560021,92,Walk,45,Other,Yes,4,Rented House,Yes,No,377622,More work from home option
02/15/2024 16:18:00,Manager,Marketing,14.23,"-38.904075, 28.472177",820434,112,Bicycle,55,Other,Yes,4,Independent House,No,No,348153,Salary raises
05/29/2024 13:42:00,Director,IT,13.67,"14.014946, 72.577",900046,67,Public transport,41,Man,Yes,2,Hostel,Yes,Yes,458914,Salary raises
12/17/2024 05:03:00,Senior Manager,Sales,11.91,"24.030958, 113.096615",464223,8,Carpool,45,Woman,No,2,Rented House,No,No,698315,Salary raises
10/12/2024 22:28:00,VP,Sales,4.51,"-9.589121, 174.526999",492635,39,Carpool,24,Woman,No,1,Hostel,No,Yes,609107,Salary raises
09/26/2024 22:05:00,Executive,HR,5.21,"-85.065912, 35.956056",383286,32,Two wheeler EV,34,Other,Yes,3,PG,Yes,No,172679,More work from home option
05/31/2024 02:36:00,Non executive,Finance,1.01,"-14.937158, -69.551826",420706,55,Walk,53,Woman,Yes,3,Independent House,No,Yes,300170,More work from home option
03/22/2024 12:36:00,Non executive,R&D,2.98,"49.695557, -152.589245",639662,14,Public transport,46,Woman,No,2,Independent House,No,Yes,713378,Salary raises
02/23/2024 17:39:00,Non executive,Finance,11.91,"23.182092, 152.001413",361013,47,Walk,57,Woman,Yes,3,Independent House,No,No,723531,Salary raises
04/07/2024 01:05:00,Non executive,Finance,8.96,"63.089573, 176.347832",337323,36,Public transport,36,Man,Yes,4,Independent House,Yes,No,595823,Salary raises
03/29/2024 19:38:00,Senior Manager,Customer Support,6.6,"-12.072161, -77.973081",637231,60,Car,38,Woman,Yes,3,Independent House,No,No,813829,Salary raises
02/12/2024 20:07:00,Executive,Finance,10.02,"-54.113942, -94.635677",887741,39,Walk,31,Woman,No,0,Independent House,No,No,672615,Salary raises
04/05/2024 00:34:00,Director,HR,9.97,"75.314053, -41.172047",838064,75,Walk,58,Man,Yes,3,Independent House,Yes,No,888459,Salary raises
02/19/2024 23:57:00,VP,Customer Support,10.03,"57.994237, -14.670916",357407,64,Public transport,58,Other,No,4,Apartment,No,Yes,570948,Salary raises
09/11/2024 13:16:00,Director,Customer Support,6.94,"72.3175, 21.841219",703399,48,Bicycle,30,Other,No,4,PG,Yes,Yes,823316,Salary raises
